Artikel-ID, ,Produktname-im-Laden,Hauptkategorie,Unterkategorien,Produktname-beim-Lieferanten,Lieferant,Produzent,Produzenten Webseite,Volumen,Hauptrohstoff Herkunft,Herkunftsort,Zertifizierung,Artikel Nr.,Artikel-Nr Neu,Mehrwertsteuer,EP netto,zusätzliche Tarife,VP netto,102.50%,Ladenpreis neu,Ladenpreis alt,Differenz,Verfallsdatum,Letzter Export in den Webshop,Webshop Produktname,Im Webshop anzeigen,quartierdepot-bild-0,Bilder,Kurzbeschreibung,Coop,Differenz,%,Farmy,Differenz,%,,KW51,KW2,KW3,KW4,KW5,KW6,KW7,KW8,KW9,KW10,KW11,KW12,KW13,KW14,KW15,KW16,KW17,KW 18,KW19,KW20,KW21,KW22,KW23,KW23-Rea,KW24,KW25,KW26,KW 27,KW28,KW29,KW30,,Gesamt Bestellmenge,Lager vom Web,Lager Neuer Import,Schwellenwert,Manage stock?,Items sold 4.5.,Stock effektiv,Stock theor,Diff eff vs theo,Summe
D23,,Amboss Amber,01-Vorderer Teil,Bier,Bier Amboss Amber,Intercomestibles,Amboss,www.amboss.ch/,3.3 dl,Schweiz,Zürich Industrie,keine,,Intercomestibles ,Standard,1.47,,1.62,2.24,2.24,2.24,0.00,,19.6.2039,D23 Amboss Amber,visible,quartier-produkt-20,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-20.png,Amboss Amber wird von Amboss produziert und von Intercomestibles geliefert. Es kommt aus Zürich Industrie und trägt keine Zertifizierung,2.24,0.00,100%,2.50,-0.26,90%,,,24,,,,,,,,48,,,,,48,,,,,,,,,24,,,,,24,,,,168,21,45,10,yes,64,50,104,-54,-121.04
D24,,LOG-OUT&LIVE,01-Vorderer Teil,Bier,LOG-OUT&LIVE,Intercomestibles,whitefrontier,www.whitefrontier.ch,3.3 dl,Schweiz,"Martigny, Wallis",keine,,Intercomestibles ,Standard,2.93,,3.22,3.47,3.47,,,,19.6.2040,D24 LOG-OUT&LIVE,visible,quartier-produkt-21,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-21.png,"LOG-OUT&LIVE wird von whitefrontier produziert und von Intercomestibles geliefert. Es kommt aus Martigny, Wallis und trägt keine Zertifizierung",,,,,,,,,,,,,,,,,,,,24,,,,,48,,,,,,,,,,,,,,,72,19,19,10,yes,23,50,49,1,3.47
D25,,Seebueb Fräche Siech hell,01-Vorderer Teil,Bier,Seebueb Fräche Siech hell,Intercomestibles,seebueb,https://www.seebueb-bier.ch/,3.3 dl,Schweiz,Hombrechtikon,keine,3781,Intercomestibles 3781,Standard,1.93,,2.12,2.29,2.29,,,,19.6.2041,D25 Seebueb Fräche Siech hell,visible,quartier-produkt-22,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-22.png,Seebueb Fräche Siech hell wird von seebueb produziert und von Intercomestibles geliefert. Es kommt aus Hombrechtikon und trägt keine Zertifizierung,,,,,,,,,,,,,,,,,,,,,,24,24,,24,,48,,,,,,,,,48,,,,168,26,74,10,yes,35,56,133,-77,-176.06
D30,,Appenzeller Naturperle,01-Vorderer Teil,Bier,Bier Appenzeller Naturperle,Intercomestibles,Brauerei Locher,www.appenzellerbier.ch/de/home.html,0.5 l,Schweiz,Appenzell (AI),Knospe,44000,Intercomestibles 44000,Standard,1.97,,2.17,2.83,2.83,2.83,0.00,,19.6.2042,D30 Appenzeller Naturperle,visible,quartier-produkt-23,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-23.png,Appenzeller Naturperle wird von Brauerei Locher produziert und von Intercomestibles geliefert. Es kommt aus Appenzell (AI) und trägt Knospe Zertifizierung,2.50,0.33,113%,,,,,15,15,,,,,,,,30,,,,,30,,,30,,,,,,30,,,,,30,,,,180,16,46,10,yes,91,23,89,-66,-187.03
D31,,Wädi Bräu hell,01-Vorderer Teil,Bier,Bier Wädi Bräu hell,Intercomestibles,Wädi-Brau-Huus AG,www.waedenswiler.ch/index.php/home.html,3.3 dl,Schweiz,"Wädenswil, Zürich",Knospe,44290,Intercomestibles 44290,Standard,1.95,,2.15,2.81,2.81,2.81,0.00,,19.6.2043,D31 Wädi Bräu hell,visible,quartier-produkt-24,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-24.png,"Wädi Bräu hell wird von Wädi-Brau-Huus AG produziert und von Intercomestibles geliefert. Es kommt aus Wädenswil, Zürich und trägt Knospe Zertifizierung",,,,,,,,20,20,,,,,,,,,,,20,,80,,,,,100,,,,40,,,,,100,,,,380,-12,88,10,yes,166,92,214,-122,-342.84
D32,,Another Galaxy double dry,01-Vorderer Teil,Bier,S&A Brewing Another Galaxy Double Dry Hopped IPA Galaxy & Citra 7.3%,Intercomestibles,S&A Brewing,www.sandabrewing.ch/,3.3 dl,Schweiz,"Kyburg, Zürich",keine,,Intercomestibles ,Standard,3.38,,3.72,4.00,4.00,4.00,0.00,,19.6.2044,D32 Another Galaxy double dry,visible,quartier-produkt-25,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-25.png,"Another Galaxy double dry wird von S&A Brewing produziert und von Intercomestibles geliefert. Es kommt aus Kyburg, Zürich und trägt keine Zertifizierung",,,,,,,,,,,,,,,,,12,,,24,,,,,,,12,,,,,,,,,12,,,,60,18,30,10,yes,27,20,33,-13,-52.06
D40,,Weisswein La Colombe,01-Vorderer Teil,Wein,Weisswein La Colombe,Maria Bühler Weine,Paccot Domaine La Colombe,www.lacolombe.ch/de/,70 cl,Schweiz,"Féchy, Waadt",Demeter,1027718,Maria Bühler Weine 1027718,Standard,10.50,,11.55,12.44,12.44,13.40,-0.96,,19.6.2045,D40 Weisswein La Colombe,visible,quartier-produkt-26,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-26.png,"Weisswein La Colombe wird von Paccot Domaine La Colombe produziert und von Maria Bühler Weine geliefert. Es kommt aus Féchy, Waadt und trägt Demeter Zertifizierung",,,,,,,,,12,,,6,,,,,,,18,,,,,18,,18,,,,,,,,,,,,18,,90,7,7,6,yes,46,22,44,-22,-273.67
D41,,Rotwein Saint Estève Grande Réserve,01-Vorderer Teil,Wein,Rotwein Saint Estève Grande Réserve,Maria Bühler Weine,Marc Français,www.saint-esteve.com/component/hikashop/millesime/13-grande-reserve-rouge-notre-recommandation-chateau-saint-esteve,75cl,Frankreich,Frankreich,EU-Bio,,Maria Bühler Weine ,Standard,11.25,,12.38,13.33,13.33,14.95,-1.62,,19.6.2046,D41 Rotwein Saint Estève Grande Réserve,visible,quartier-produkt-27,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-27.png,Rotwein Saint Estève Grande Réserve wird von Marc Français produziert und von Maria Bühler Weine geliefert. Es kommt aus Frankreich und trägt EU-Bio Zertifizierung,,,,,,,,,,,,,,,12,,,,,,,,,,,12,,,,,,,,,,,,,,24,7,7,6,yes,5,13,19,-6,-79.97
D42,,Rotwein Mundo de Yuntero Tinto,01-Vorderer Teil,Wein,Rotwein Mundo de Yuntero Tinto,Maria Bühler Weine,Bodegas Yuntero,www.yuntero.com/index.php/de/vinos-2/vinos-d-o/yuntero-tinto,75cl,Spanien,Spanien,Demeter,8083718,Maria Bühler Weine 8083718,Standard,7.40,,8.14,8.77,8.77,9.45,-0.68,,19.6.2047,D42 Rotwein Mundo de Yuntero Tinto,visible,quartier-produkt-28,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-28.png,Rotwein Mundo de Yuntero Tinto wird von Bodegas Yuntero produziert und von Maria Bühler Weine geliefert. Es kommt aus Spanien und trägt Demeter Zertifizierung,,,,,,,,,12,,,6,,,12,,60,,,,,,,,,,,,,,,,,,,,,,,90,10,10,6,yes,56,18,34,-16,-140.27
D43,,Sgàjo Prosecco,01-Vorderer Teil,Wein,Sgàjo Prosecco Treviso DOC,Biopartner,Perlage Winery,www.perlagewines.com/index.php?lang=de,75cl,Italien,Italien,"Demeter, Vegan",473731,Biopartner 473731,Standard,8.87,,9.76,10.51,10.51,14.95,-4.44,,19.6.2048,D43 Sgàjo Prosecco,visible,quartier-produkt-29,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-29.png,"Sgàjo Prosecco wird von Perlage Winery produziert und von Biopartner geliefert. Es kommt aus Italien und trägt Demeter, Vegan Zertifizierung",,,,,,,,,6,,,6,,,,,,,,12,,,,,,18,,,,,,,,12,,,,,,54,22,22,6,yes,23,18,31,-13,-136.61
D44,,Rosé - Château Saint Estève,01-Vorderer Teil,Wein,Château Saint Estève AOC Tradtition Rosé,Maria Bühler Weine,Château Saint Estève d'Uchaux,www.saint-esteve.com/,75cl,Frankreich,Frankreich,EU-Bio,4087718,Maria Bühler Weine 4087718,Standard,9.80,,10.78,11.61,11.61,12.50,-0.89,,19.6.2049,D44 Rosé - Château Saint Estève,visible,quartier-produkt-30,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-30.png,Rosé - Château Saint Estève wird von Château Saint Estève d'Uchaux produziert und von Maria Bühler Weine geliefert. Es kommt aus Frankreich und trägt EU-Bio Zertifizierung,,,,,,,,,6,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,24,21,21,6,yes,5,25,19,6,69.66
E10,,Vollmilch,01-Vorderer Teil,Milchprodukte,Vollmilch,Picobio,Höhn Hirzel,www.hoehn-hirzel.ch/,,Schweiz,"Hirzel, Zürich",Knospe,21244,Picobio 21244,Mwst. reduzierter Satz,1.87,,2.06,2.11,2.11,2.10,0.01,,19.6.2050,E10 Vollmilch,visible,quartier-produkt-31,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-31.png,"Vollmilch wird von Höhn Hirzel produziert und von Picobio geliefert. Es kommt aus Hirzel, Zürich und trägt Knospe Zertifizierung",1.90,0.21,111%,2.50,-0.39,84%,,,30,32,34,40,37,18,20,34,33,34,37,37,,36,32,36,37,36,,34,,33,,30,34,33,33,32,18,19,,829,,32,,no,626,0,203,-203,-428.01
E11,,Milch Drink,01-Vorderer Teil,Milchprodukte,Milch Drink,Biopartner,Biomilk,www.biomilk.ch/,1l,Schweiz,"Worb, Bern",Knospe,1701,Biopartner 1701,Mwst. reduzierter Satz,1.73,,1.90,1.95,1.95,2.15,-0.20,,19.6.2051,E11 Milch Drink,visible,quartier-produkt-32,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-32.png,"Milch Drink wird von Biomilk produziert und von Biopartner geliefert. Es kommt aus Worb, Bern und trägt Knospe Zertifizierung",,,,2.75,-0.80,71%,,,8,10,10,10,4,3,4,14,13,13,10,,13,12,6,24,13,7,10,9,,7,,5,8,7,7,7,4,4,,242,,7,,no,178,0,64,-64,-124.84
E12,,Nature Joghurt,01-Vorderer Teil,Milchprodukte,Nature Joghurt,Biopartner,Sennerei Bachtel,www.sennerei-bachtel.ch/,500ml,Schweiz,"Wernetshausen, Zürich",Demeter,1920,Biopartner 1920,Mwst. reduzierter Satz,2.10,,2.31,2.87,3.37,2.95,0.42,,19.6.2052,E12 Nature Joghurt,visible,quartier-produkt-33,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-33.png,"Nature Joghurt wird von Sennerei Bachtel produziert und von Biopartner geliefert. Es kommt aus Wernetshausen, Zürich und trägt Demeter Zertifizierung",,,,,,,,,16,15,17,17,12,2,4,16,16,,18,18,,12,18,32,2,14,14,14,,16,,14,,14,,14,8,10,,333,,14,,no,252,2,81,-79,-266.05
